product_id,product_name,supplier_id,category_id,quantity_per_unit,unit_price,units_in_stock,units_on_order,reorder_level,discontinued
444,Printer 2752,184,3,24 pack,1223.65,96,15,60,0
445,Camera 2765,49,8,1 kg,97.77,324,86,85,0
446,Mouse 9172,118,8,1 piece,1063.08,24,70,65,1
447,Mouse 3845,131,8,6 pack,211.59,336,76,87,0
448,Monitor 5482,108,7,1 kg,1927.37,496,37,67,0
449,Headphones 9975,106,3,500 g,1425.19,478,70,90,0
450,Headphones 6657,54,4,6 pack,1962.76,332,22,74,1
451,Keyboard 6771,182,6,500 ml,963.34,292,85,100,0
452,Laptop 9564,109,5,2 pieces,55.42,74,6,95,0
453,Mouse 5695,69,4,24 pack,297.12,31,88,47,0
454,Tablet 2679,92,1,1 L,1736.73,378,71,38,1
455,Headphones 1769,61,7,1 kg,778.17,489,100,97,0
456,Headphones 4327,4,1,1 L,1738.36,440,56,38,0
457,Monitor 5819,199,4,250 ml,358.96,349,9,33,0
458,Laptop 8020,97,2,24 pack,1115.41,66,20,84,0
459,Tablet 3536,85,1,1 piece,311.64,165,76,16,1
460,Camera 2194,126,5,500 g,1053.16,489,23,76,0
461,Printer 2506,107,3,500 g,446.29,109,84,52,0
462,Monitor 9691,76,6,250 ml,1993.28,421,96,93,0
463,Camera 8301,172,2,12 pack,1809.47,314,79,41,0
464,Keyboard 7322,98,6,24 pack,1082.77,144,3,76,0
465,Laptop 5856,125,8,12 pack,644.02,42,12,31,1
466,Keyboard 4453,161,1,12 pack,1730.58,217,13,36,1
467,Keyboard 3519,166,7,1 piece,921.15,169,4,21,0
468,Headphones 2154,46,1,1 L,1644.13,466,33,62,0
469,Printer 8094,162,8,500 g,38.7,344,15,78,0
470,Laptop 2189,194,2,500 g,1856.46,54,37,97,0
471,Tablet 7249,73,2,1 kg,1645.13,15,60,30,1
472,Printer 9941,35,4,24 pack,1920.47,73,38,96,0
473,Mouse 3019,142,1,1 piece,15.03,305,50,78,1
474,Monitor 6633,79,2,12 pack,828.25,330,65,28,0
475,Headphones 4183,57,3,2 pieces,366.81,409,72,16,1
476,Keyboard 5762,166,8,2 pieces,505.12,101,92,84,0
477,Mouse 4842,92,6,2 pieces,573.85,35,24,50,0
478,Headphones 3496,85,8,1 L,1135.89,413,40,64,0
479,Monitor 4629,81,1,1 kg,556.98,184,17,96,0
480,Tablet 6877,119,8,24 pack,976.51,55,22,92,1
481,Mouse 9824,72,2,12 pack,530.15,453,80,19,0
482,Laptop 7637,130,1,1 L,429.46,18,70,43,1
483,Mouse 6993,168,8,1 kg,450.5,395,75,47,0
484,Keyboard 7500,129,8,500 g,1006.82,339,30,88,0
485,Mouse 3935,115,3,1 L,1897.68,337,18,71,0
486,Tablet 4796,57,1,2 pieces,532.39,119,5,95,0
487,Tablet 8448,100,6,1 piece,84.61,332,41,23,1
488,Headphones 9918,190,5,1 L,351.83,334,48,56,1
489,Headphones 7165,133,2,12 pack,1035.16,180,44,72,0
490,Mouse 8207,129,1,6 pack,463.83,263,82,45,0
491,Mouse 6934,48,3,1 L,1436.02,60,84,39,0
492,Keyboard 8889,185,6,250 ml,960.65,302,20,92,0
493,Laptop 3095,63,1,1 L,1186.73,68,80,75,0
494,Mouse 5231,15,3,6 pack,1035.7,207,76,82,0
495,Monitor 8359,22,5,1 L,1985.59,444,61,31,0
496,Mouse 3979,154,7,1 L,1321.0,135,21,97,0
497,Keyboard 4765,153,8,1 kg,774.0,55,2,35,1
498,Keyboard 3906,39,7,250 ml,1803.71,307,4,78,1
499,Tablet 3135,24,2,1 L,1080.88,0,99,96,0
500,Laptop 9680,95,7,1 kg,462.83,410,61,58,0
501,Mouse 5170,109,2,250 ml,1532.89,465,10,46,1
502,Monitor 1089,66,7,1 piece,1158.08,60,66,10,0
503,Camera 7698,177,4,500 g,217.63,218,83,84,0
504,Printer 6990,138,5,1 L,554.74,348,50,36,0
505,Camera 8925,46,8,24 pack,1977.07,295,44,100,0
506,Keyboard 4764,169,3,250 ml,1567.3,486,20,22,0
507,Laptop 3633,87,7,1 kg,1929.32,2,11,28,0
508,Keyboard 5310,23,7,12 pack,744.82,311,4,59,0
509,Laptop 3871,183,5,250 ml,880.75,103,84,76,0
510,Monitor 3776,9,4,1 piece,722.68,335,0,30,0
511,Printer 6785,200,5,1 kg,813.87,102,66,11,0
512,Headphones 6703,141,2,500 g,1926.76,141,28,87,0
513,Laptop 5277,104,8,6 pack,817.23,54,71,19,1
514,Keyboard 9409,88,5,24 pack,1752.85,416,73,42,0
515,Tablet 4985,145,7,500 g,1922.67,234,87,68,1
516,Keyboard 5224,124,1,2 pieces,768.43,403,28,96,0
517,Camera 9462,106,6,500 ml,24.4,426,33,41,0
518,Camera 2245,103,2,500 ml,1863.14,243,40,55,0
519,Monitor 9175,47,5,12 pack,473.55,123,33,36,0
520,Camera 3555,64,4,2 pieces,244.16,40,86,94,0
521,Laptop 8901,196,1,500 g,1243.23,252,73,45,0
522,Headphones 7518,196,3,12 pack,1501.59,65,6,77,0
523,Laptop 9232,139,8,500 g,790.47,351,99,32,0
524,Tablet 6171,179,2,1 piece,28.58,107,48,84,0
525,Headphones 4066,93,6,500 ml,529.38,137,60,88,0
526,Tablet 7945,48,6,12 pack,841.09,385,47,56,0
527,Mouse 3148,116,5,1 L,1373.59,416,12,44,0
528,Monitor 3389,98,7,6 pack,948.61,4,22,63,0
529,Camera 8972,162,3,24 pack,505.69,439,72,16,0
530,Mouse 1983,177,2,12 pack,1628.57,243,80,22,0
531,Camera 6903,67,6,500 ml,1117.2,414,32,54,0
532,Camera 4259,32,7,1 L,1153.91,332,68,32,0
533,Tablet 8322,84,6,2 pieces,765.24,146,59,90,0
534,Camera 7911,164,3,1 L,1145.42,434,9,20,0
535,Camera 6191,59,6,24 pack,1422.31,309,82,60,0
536,Camera 9535,200,8,250 ml,830.91,94,2,26,0
537,Keyboard 4450,191,5,6 pack,797.11,48,8,70,1
538,Printer 9584,7,1,2 pieces,212.34,316,19,20,0
539,Monitor 5655,59,5,250 ml,1254.83,67,67,31,0
540,Camera 6328,170,1,250 ml,937.05,445,69,44,1
541,Mouse 8480,35,8,1 L,872.78,327,81,78,0
542,Monitor 2467,124,6,250 ml,619.2,211,33,29,0
543,Mouse 6634,1,1,24 pack,941.05,4,88,72,0
544,Printer 5799,3,5,1 L,466.27,3,70,57,0
545,Printer 7467,144,7,12 pack,330.72,377,82,59,0
546,Keyboard 7917,68,4,12 pack,1035.64,409,78,98,0
547,Headphones 7765,167,5,12 pack,1707.7,93,17,47,0
548,Tablet 5458,159,8,1 L,986.53,164,2,29,0
549,Keyboard 5622,48,1,24 pack,254.45,224,93,11,0
550,Laptop 9086,39,2,12 pack,687.12,159,100,73,0
551,Laptop 6410,179,8,2 pieces,1687.87,487,18,17,0
552,Tablet 3975,19,7,12 pack,1791.92,128,48,11,0
553,Tablet 5049,99,4,1 piece,402.36,376,98,22,1
554,Printer 6113,122,4,500 g,321.43,372,5,80,1
555,Tablet 5895,65,2,12 pack,724.05,26,85,37,0
556,Printer 6316,163,4,1 piece,338.88,141,74,25,0
557,Laptop 8786,3,4,1 L,314.21,394,11,41,0
558,Camera 1983,24,8,1 piece,714.26,78,89,78,0
559,Monitor 6189,125,3,500 ml,1578.18,387,44,66,0
560,Printer 6868,177,1,6 pack,505.14,20,62,100,0
561,Tablet 4109,139,5,1 L,377.32,178,41,69,0
562,Mouse 8362,18,3,24 pack,1639.74,277,46,68,0
563,Mouse 1306,188,7,1 L,1714.37,397,79,40,0
564,Printer 4110,169,2,500 ml,1368.03,392,70,29,1
565,Printer 6276,83,5,2 pieces,197.03,337,8,15,0
566,Monitor 2753,9,3,250 ml,387.28,16,73,92,0
567,Headphones 1804,135,8,500 g,445.34,367,9,11,0
568,Tablet 1994,21,8,500 g,1118.25,480,53,57,0
569,Laptop 2153,136,5,24 pack,160.48,110,66,22,0
570,Printer 4104,137,4,12 pack,1054.75,127,72,90,0
571,Keyboard 6864,192,7,250 ml,1406.59,218,13,31,0
572,Camera 3591,130,7,500 ml,1996.87,226,45,50,1
573,Printer 8054,96,6,500 g,1218.78,288,69,37,0
574,Tablet 8331,93,5,1 kg,5.39,17,36,86,0
575,Laptop 5920,78,3,12 pack,433.57,161,2,98,0
576,Laptop 8542,25,3,500 g,316.43,135,46,84,0
577,Headphones 2505,66,4,1 L,802.6,469,27,19,0
578,Tablet 2562,45,8,1 L,1286.3,19,93,83,0
579,Laptop 6478,200,2,500 g,1760.19,222,53,25,0
580,Printer 1886,163,1,24 pack,1051.14,163,69,82,0
581,Monitor 3509,129,6,1 piece,1348.9,201,57,86,1
582,Printer 5747,57,2,1 kg,300.28,172,10,70,1
583,Printer 5301,141,1,2 pieces,800.06,222,99,99,0
584,Monitor 8993,124,3,1 kg,1306.24,100,71,88,1
585,Keyboard 5362,63,4,1 kg,650.21,473,73,21,0
586,Camera 6706,109,7,12 pack,644.87,304,83,13,0
587,Tablet 3389,90,3,250 ml,94.53,418,29,35,0
588,Keyboard 2841,194,3,1 piece,489.88,317,18,46,0
589,Keyboard 5999,178,6,250 ml,945.02,169,26,78,0
590,Headphones 9991,140,4,250 ml,1247.97,72,88,99,0
591,Laptop 5185,150,7,6 pack,124.92,102,89,89,0
592,Laptop 2091,120,1,1 kg,1322.44,339,84,56,0
593,Printer 4787,75,1,1 kg,1019.54,363,12,50,0
594,Monitor 9202,48,2,250 ml,1123.57,364,2,15,0
595,Tablet 7445,86,5,6 pack,41.65,350,45,55,0
596,Headphones 2015,129,4,24 pack,1757.96,455,3,81,0
597,Camera 7436,39,4,6 pack,180.15,195,66,96,1
598,Monitor 3502,107,4,1 kg,1941.22,465,77,52,0
599,Mouse 9869,53,3,12 pack,1725.86,158,88,100,1
600,Mouse 3589,111,3,500 g,140.29,272,92,25,0
601,Laptop 6221,38,6,1 kg,1922.59,155,56,91,0
602,Monitor 2749,200,3,6 pack,373.57,390,78,88,0
603,Monitor 4783,153,4,1 piece,721.73,352,99,71,0
604,Camera 4014,183,8,1 kg,985.43,70,20,34,0
605,Laptop 5421,105,1,1 kg,449.0,343,25,36,0
606,Tablet 6323,113,3,250 ml,1775.74,218,51,15,1
607,Camera 7457,185,7,1 L,1878.58,292,76,78,1
608,Keyboard 8399,134,1,250 ml,1654.89,21,31,76,1
609,Laptop 7347,189,7,500 ml,1531.49,492,6,34,0
610,Headphones 5684,102,8,250 ml,337.14,150,78,16,1
611,Tablet 2481,119,3,500 ml,230.78,398,74,99,1
612,Printer 6299,101,3,250 ml,54.7,232,75,35,0
613,Camera 3686,65,2,2 pieces,186.93,361,57,91,0
614,Printer 9383,135,2,1 L,1899.76,193,70,58,0
615,Mouse 3656,86,3,6 pack,361.84,364,6,63,0
616,Tablet 5731,187,5,6 pack,239.52,67,25,10,1
617,Tablet 9153,4,5,250 ml,1089.28,2,77,73,0
618,Tablet 8434,151,4,1 kg,886.54,307,76,10,0
619,Monitor 1801,159,5,6 pack,300.77,334,44,14,0
620,Headphones 6424,171,1,2 pieces,102.82,213,22,30,0
621,Camera 1587,117,3,2 pieces,1538.18,165,47,58,0
622,Keyboard 5797,141,7,250 ml,273.42,355,35,52,1
623,Monitor 4425,135,7,1 L,121.08,292,93,90,1
624,Headphones 7996,124,2,1 L,1696.36,132,67,83,1
625,Tablet 9514,34,6,250 ml,987.55,92,78,39,0
626,Keyboard 1392,1,4,250 ml,1252.79,60,94,36,1
627,Laptop 6468,106,7,500 g,1123.03,326,27,11,0
628,Keyboard 6042,66,5,24 pack,1015.85,165,98,10,0
629,Printer 1477,88,6,6 pack,392.06,426,43,96,0
630,Mouse 8888,10,8,6 pack,1256.26,456,68,52,0
631,Laptop 9537,191,7,24 pack,1132.06,347,40,81,1
632,Camera 6793,54,1,2 pieces,1939.38,143,3,53,0
633,Printer 4070,147,3,1 L,238.11,400,96,49,0
634,Printer 2422,70,1,250 ml,1754.71,190,57,48,0
635,Keyboard 7131,45,5,1 piece,1556.69,467,11,66,1
636,Mouse 4116,124,1,500 g,1847.66,375,67,49,0
637,Keyboard 9456,197,3,6 pack,414.35,18,58,59,1
638,Headphones 1721,2,2,1 L,1744.39,170,59,15,0
639,Headphones 4438,6,5,500 g,405.11,146,35,78,0
640,Keyboard 5467,172,8,6 pack,319.2,58,1,89,1
641,Camera 6218,53,2,24 pack,287.41,360,36,83,0
642,Headphones 6549,19,3,500 ml,890.08,66,3,70,0
643,Laptop 2410,99,2,1 kg,786.87,360,76,85,0
644,Camera 4246,80,6,500 ml,161.7,472,96,69,1
645,Tablet 2593,24,3,250 ml,624.23,329,90,69,0
646,Mouse 5227,58,4,500 g,787.19,358,85,52,0
647,Laptop 2070,125,8,250 ml,230.21,245,59,31,0
648,Mouse 9322,155,6,2 pieces,814.34,365,13,51,1
649,Tablet 7566,78,2,1 L,829.82,317,31,80,0
650,Keyboard 6582,99,8,12 pack,1628.76,302,55,65,1
651,Monitor 3835,140,6,2 pieces,1480.04,364,73,72,0
652,Keyboard 8294,84,8,6 pack,619.53,207,8,86,0
653,Tablet 2007,84,7,2 pieces,439.14,71,74,91,0
654,Mouse 8421,170,3,500 ml,586.55,315,73,67,0
655,Camera 5910,175,4,1 L,1589.72,347,38,65,0
656,Laptop 9362,150,2,1 kg,1696.04,436,37,17,0
657,Camera 2797,1,1,24 pack,1732.03,120,55,99,1
658,Camera 7271,161,7,1 kg,766.22,279,27,94,0
659,Monitor 7301,36,8,500 g,1680.73,78,36,95,0
660,Keyboard 1257,3,3,6 pack,1444.07,249,84,65,0
661,Printer 8471,36,2,1 L,1860.97,319,23,68,1
662,Tablet 7303,142,7,500 g,455.35,217,77,10,1
663,Monitor 9220,188,8,24 pack,824.62,279,73,56,0
664,Tablet 7038,146,1,2 pieces,1162.64,492,88,20,0
665,Keyboard 9574,120,5,1 L,181.45,241,80,94,0
666,Laptop 6628,157,5,500 ml,1558.16,240,58,75,0
667,Camera 5827,108,6,24 pack,339.18,355,76,48,1
668,Tablet 3770,16,5,1 L,107.98,149,94,89,0
669,Keyboard 3077,125,5,500 ml,158.34,401,35,42,0
670,Headphones 1232,71,5,2 pieces,1209.62,465,75,29,0
671,Headphones 4869,45,6,250 ml,365.71,270,4,53,0
672,Mouse 9125,153,3,1 kg,1541.88,121,84,66,0
673,Camera 1890,148,4,24 pack,1512.19,59,6,31,0
674,Headphones 8803,122,7,500 ml,471.15,349,90,59,0
675,Printer 1194,38,5,24 pack,1854.81,229,48,96,0
676,Camera 8074,25,1,1 L,1836.49,439,34,52,0
677,Headphones 7408,26,5,250 ml,1547.44,383,30,96,1
678,Camera 3947,134,4,500 g,1097.49,344,1,18,0
679,Keyboard 8306,26,7,500 g,442.74,145,32,34,0
680,Keyboard 1931,159,1,1 L,1314.93,427,27,86,0
681,Mouse 7159,23,2,1 L,1607.38,94,14,99,0
682,Tablet 2240,76,5,250 ml,1845.78,141,98,64,0
683,Keyboard 5543,42,5,1 piece,768.68,170,7,43,0
684,Keyboard 9056,113,3,12 pack,1222.55,91,82,72,0
685,Printer 4578,139,3,1 L,1288.46,467,56,43,0
686,Keyboard 5105,19,1,250 ml,42.44,254,19,93,0
687,Printer 5365,171,1,6 pack,1401.61,463,50,83,0
688,Printer 7617,123,8,2 pieces,1082.56,1,49,98,0
689,Camera 6463,146,2,24 pack,804.23,323,82,21,0
690,Tablet 5750,21,6,12 pack,357.35,20,49,94,0
691,Printer 2749,179,5,500 g,975.57,453,80,66,0
692,Monitor 1415,10,3,1 L,480.78,199,8,79,0
693,Tablet 1268,137,8,1 piece,681.87,172,100,15,0
694,Tablet 9791,55,2,6 pack,1483.4,119,9,14,0
695,Laptop 8720,168,8,1 L,96.37,359,83,26,0
696,Laptop 6035,162,3,2 pieces,915.09,87,75,18,0
697,Monitor 2033,128,2,12 pack,855.29,415,94,96,0
698,Mouse 6268,31,6,12 pack,1529.63,303,22,52,0
699,Mouse 7801,71,2,6 pack,1394.11,283,21,66,0
700,Keyboard 7162,35,1,6 pack,36.18,249,10,10,0
701,Headphones 7819,23,3,250 ml,1386.25,105,18,91,0
702,Monitor 3859,106,8,1 L,1384.89,305,23,73,1
703,Headphones 6699,161,2,1 kg,14.12,120,24,25,1
704,Camera 9842,159,2,500 ml,442.46,394,80,94,0
705,Monitor 2846,14,5,6 pack,1372.06,495,60,73,0
706,Laptop 1885,172,3,500 g,573.7,222,32,52,1
707,Keyboard 1859,12,8,500 ml,355.9,402,3,72,1
708,Monitor 8287,19,2,1 L,1161.62,214,25,96,0
709,Keyboard 6343,200,4,12 pack,200.64,377,52,35,0
710,Tablet 8936,19,4,1 piece,1781.53,74,27,88,0
711,Camera 3234,100,3,250 ml,1441.04,323,45,44,0
712,Laptop 1977,33,6,24 pack,277.32,436,59,68,0
713,Camera 4602,195,3,24 pack,1209.25,404,81,88,0
714,Printer 9548,23,4,250 ml,1725.09,110,75,70,0
715,Printer 5041,4,5,12 pack,657.96,296,28,85,0
716,Laptop 1656,107,1,250 ml,1468.29,258,4,64,1
717,Keyboard 8412,123,7,250 ml,484.82,285,96,11,0
718,Camera 5846,34,4,12 pack,1297.04,46,2,71,0
719,Tablet 1399,181,3,250 ml,930.2,70,90,61,0
720,Tablet 1022,161,6,2 pieces,772.83,353,42,77,0
721,Headphones 9887,110,5,1 L,1589.99,403,87,20,1
722,Laptop 9433,189,6,500 g,1776.52,56,49,56,0
723,Camera 3871,94,1,500 ml,1411.22,287,90,36,0
724,Keyboard 8839,62,6,1 L,1742.91,359,26,38,0
725,Printer 5540,69,6,1 piece,131.42,176,57,72,1
726,Headphones 8405,121,2,1 L,739.45,344,88,18,0
727,Keyboard 7400,23,8,6 pack,580.3,489,9,23,0
728,Mouse 9131,29,5,6 pack,1750.61,266,80,12,0
729,Mouse 8764,175,7,500 g,843.16,377,82,12,0
730,Laptop 4806,17,4,500 ml,1291.12,210,74,53,0
731,Tablet 8503,152,8,24 pack,1136.67,459,39,31,0
732,Camera 5720,124,4,1 piece,300.93,145,58,31,1
733,Headphones 3986,183,3,6 pack,1679.47,354,85,29,0
734,Laptop 6187,30,4,1 L,257.31,133,47,33,0
735,Camera 6633,171,1,6 pack,748.97,276,20,78,0
736,Printer 9182,7,2,6 pack,1895.84,475,40,29,0
737,Headphones 8764,166,6,24 pack,1939.36,386,73,95,0
738,Keyboard 8847,87,8,1 piece,283.15,282,14,49,0
739,Monitor 8306,159,7,500 g,189.5,28,77,92,0
740,Headphones 4206,197,4,1 piece,171.76,434,57,96,0
741,Tablet 6206,50,7,1 L,1212.13,483,7,95,0
742,Printer 7056,38,7,1 kg,748.8,145,44,54,0
743,Keyboard 4533,144,8,250 ml,1484.35,212,56,46,0
744,Printer 3286,187,7,1 L,1197.88,73,26,48,0
745,Printer 2449,17,6,1 piece,821.87,468,34,63,0
746,Mouse 4264,182,8,6 pack,1665.41,148,70,72,0
747,Headphones 9095,150,5,500 ml,1481.01,114,3,10,0
748,Tablet 3034,77,5,24 pack,837.23,251,88,92,0
749,Headphones 9078,31,1,2 pieces,1199.79,185,74,71,1
750,Tablet 2959,67,7,500 g,1027.49,294,2,43,0
751,Camera 8553,38,1,6 pack,717.98,27,34,56,0
752,Headphones 5778,13,6,500 ml,1279.7,39,65,34,0
753,Mouse 9908,154,2,500 g,1745.52,423,87,48,0
754,Camera 3354,25,6,1 piece,278.21,144,47,72,0
755,Keyboard 4569,42,6,6 pack,1009.25,425,24,81,1
756,Tablet 2251,107,2,2 pieces,1638.6,472,2,71,0
757,Camera 3277,177,5,250 ml,1780.0,305,66,53,0
758,Keyboard 4643,8,5,6 pack,1714.35,72,88,39,0
759,Mouse 2287,54,3,1 kg,1383.18,401,14,19,0
760,Printer 1696,194,8,12 pack,220.1,406,84,75,1
761,Keyboard 5145,121,1,1 piece,137.16,341,1,22,0
762,Monitor 4027,151,4,500 g,63.37,74,95,45,1
763,Mouse 9202,91,6,1 L,487.44,291,8,22,1
764,Monitor 4138,136,1,24 pack,347.69,386,68,10,0
765,Tablet 7004,130,4,1 L,374.33,344,13,33,0
766,Monitor 9425,109,7,12 pack,818.12,389,40,25,0
767,Mouse 9123,134,2,500 g,1410.94,285,92,15,0
768,Keyboard 7304,127,6,24 pack,916.61,376,39,97,0
769,Printer 5761,142,4,1 kg,381.63,35,60,96,0
770,Tablet 2723,4,3,1 kg,878.93,337,86,20,0
771,Printer 2666,102,3,6 pack,134.1,499,25,53,0
772,Monitor 7958,32,7,250 ml,560.64,365,98,84,1
773,Printer 6834,194,5,250 ml,1335.02,486,51,72,1
774,Tablet 2770,38,5,2 pieces,505.13,254,29,90,0
775,Laptop 2117,26,1,250 ml,1357.82,497,22,58,1
776,Headphones 2578,40,6,2 pieces,1323.86,266,98,73,0
777,Tablet 9032,76,4,500 ml,527.02,175,69,79,0
778,Keyboard 7285,111,1,250 ml,632.55,192,56,68,0
779,Headphones 3689,46,1,250 ml,864.21,159,91,59,0
780,Tablet 9837,146,2,1 L,942.29,287,20,74,0
781,Tablet 7189,68,7,1 L,1354.59,392,36,51,0
782,Laptop 3100,152,1,500 g,701.01,379,74,13,0
783,Printer 6654,25,7,500 g,826.8,28,84,41,0
784,Headphones 2391,166,4,2 pieces,1738.54,58,43,31,0
785,Tablet 7921,10,6,1 L,1031.95,215,34,12,0
786,Printer 7394,82,1,500 g,1147.21,413,62,22,0
787,Camera 3730,128,6,1 L,602.54,496,55,35,0
788,Monitor 5708,138,2,24 pack,99.83,293,51,38,1
789,Keyboard 6518,184,2,24 pack,139.2,410,67,70,0
790,Keyboard 5945,89,4,500 ml,1609.23,221,84,79,0
791,Printer 5116,107,4,1 L,1033.16,343,97,80,0
792,Mouse 9178,161,1,12 pack,1323.31,421,95,69,0
793,Laptop 9556,145,7,12 pack,731.73,75,30,29,0
794,Camera 2055,106,7,12 pack,1692.7,136,36,92,0
795,Monitor 7649,176,5,12 pack,231.55,98,3,41,0
796,Printer 7914,125,8,1 piece,407.97,139,17,13,0
797,Mouse 1691,169,5,250 ml,1565.56,28,10,50,1
798,Printer 6954,17,5,2 pieces,796.81,429,92,27,0
799,Keyboard 9551,147,2,1 L,1899.6,476,67,42,0
800,Keyboard 6134,61,2,500 g,1665.51,377,49,40,0
801,Keyboard 3869,37,4,12 pack,1940.0,225,52,42,1
802,Camera 2850,126,1,500 g,1093.76,243,87,41,0
803,Tablet 7025,93,3,24 pack,47.04,495,77,14,0
804,Printer 6067,65,4,500 g,1806.8,350,15,78,0
805,Laptop 7438,100,8,24 pack,605.27,479,96,40,0
806,Tablet 6196,42,4,1 kg,1579.69,140,10,72,0
807,Printer 2644,86,7,6 pack,1398.47,259,8,55,0
808,Laptop 1853,117,6,6 pack,1262.16,405,82,27,0
809,Headphones 6140,52,7,1 L,169.05,80,31,76,0
810,Tablet 8837,82,7,6 pack,525.06,351,75,51,0
811,Printer 7022,22,4,6 pack,790.02,193,73,38,0
812,Monitor 2457,143,1,250 ml,400.54,359,21,16,0
813,Headphones 3445,154,7,2 pieces,1916.28,87,72,25,0
814,Tablet 9096,198,7,2 pieces,452.85,104,24,44,0
815,Mouse 8066,98,8,12 pack,1202.17,421,36,96,0
816,Printer 3391,47,7,1 piece,583.93,134,30,89,0
817,Tablet 2404,95,4,1 piece,940.42,446,41,98,0
818,Printer 7935,183,4,1 L,516.17,48,71,17,0
819,Tablet 6804,61,6,1 L,1878.95,495,76,100,0
820,Printer 5956,65,1,1 kg,1344.17,67,71,15,1
821,Mouse 9253,67,3,250 ml,1861.0,449,59,26,0
822,Printer 3323,182,6,24 pack,238.1,22,16,73,0
823,Headphones 5312,111,6,1 L,1660.03,474,33,76,0
824,Camera 9049,43,7,6 pack,1113.57,472,84,91,0
825,Mouse 1894,49,1,12 pack,370.37,240,33,30,0
826,Tablet 1668,30,7,250 ml,716.26,363,71,72,0
827,Mouse 3025,29,8,500 g,191.69,444,36,33,0
828,Monitor 1067,145,5,500 ml,1534.86,92,53,19,0
829,Keyboard 6384,174,8,1 piece,572.14,348,15,60,0
830,Mouse 1473,83,2,2 pieces,923.17,362,84,71,0
831,Laptop 6397,153,5,1 piece,1314.06,486,57,51,1
832,Laptop 5635,55,3,500 g,1597.3,380,9,80,1
833,Printer 5180,24,7,6 pack,483.96,394,51,21,0
834,Printer 7592,42,4,24 pack,1296.1,488,83,29,0
835,Printer 6080,126,5,1 L,266.92,340,12,57,1
836,Tablet 7358,126,4,250 ml,540.62,307,54,21,0
837,Mouse 8112,158,6,1 kg,190.43,262,43,69,0
838,Keyboard 5762,127,3,250 ml,877.52,464,61,48,0
839,Headphones 5073,176,3,500 ml,858.32,291,6,80,0
840,Keyboard 9366,132,1,1 kg,828.97,237,84,82,0
841,Keyboard 9248,66,6,1 piece,232.3,338,59,32,0
842,Keyboard 7819,12,7,24 pack,631.32,370,58,95,0
843,Mouse 4458,88,5,6 pack,161.05,309,33,96,0
844,Laptop 1095,137,7,1 kg,237.77,87,83,71,0
845,Tablet 5961,169,7,1 L,1627.2,315,46,98,0
846,Mouse 3213,23,5,1 piece,385.65,417,2,99,0
847,Tablet 3378,54,1,12 pack,874.4,320,68,34,0
848,Tablet 3427,198,5,250 ml,846.65,59,21,29,0
849,Laptop 8364,121,8,1 L,489.05,150,72,60,0
850,Keyboard 8074,3,6,1 kg,1697.99,377,74,86,1
851,Tablet 7548,10,5,250 ml,1029.14,371,78,96,0
852,Laptop 9655,183,4,1 piece,846.9,161,70,18,0
853,Keyboard 9106,122,7,1 L,1878.23,177,57,99,0
854,Headphones 4149,42,1,250 ml,690.98,118,64,38,1
855,Tablet 3148,155,6,24 pack,1447.38,199,53,96,0
856,Monitor 5627,42,8,2 pieces,1335.78,66,22,35,0
857,Printer 9089,26,8,24 pack,473.26,285,6,12,0
858,Mouse 3862,92,5,500 ml,68.78,32,43,65,0
859,Monitor 8968,31,4,24 pack,1987.36,401,45,15,1
860,Keyboard 1826,39,5,250 ml,1598.98,492,96,24,0
861,Laptop 9311,144,2,2 pieces,338.26,60,26,56,0
862,Tablet 9288,182,5,250 ml,1466.44,50,19,92,0
863,Keyboard 4307,36,6,250 ml,1939.43,393,98,10,0
864,Headphones 9274,88,8,6 pack,175.04,190,91,63,0
865,Printer 4738,39,4,6 pack,1604.53,211,52,68,1
866,Tablet 3385,8,6,1 piece,1436.66,264,8,20,0
867,Mouse 8111,103,6,1 piece,789.57,18,84,92,0
868,Headphones 7869,162,1,1 kg,1772.14,358,70,48,0
869,Headphones 9647,3,6,1 L,1841.3,358,51,67,0
870,Camera 7627,179,8,12 pack,1762.54,43,4,78,0
871,Mouse 9527,186,7,500 ml,571.44,47,65,80,0
872,Mouse 1383,194,6,1 piece,1781.19,276,75,43,0
873,Printer 9278,186,5,2 pieces,1465.31,430,47,43,1
874,Laptop 3043,32,6,250 ml,599.43,377,0,68,0
875,Monitor 6739,191,4,24 pack,572.65,401,91,83,0
876,Monitor 2724,134,7,500 g,1035.32,98,99,56,0
877,Printer 7751,38,2,2 pieces,189.04,217,16,70,0
878,Camera 9622,20,8,1 kg,1178.54,265,99,60,0
879,Printer 8210,163,8,250 ml,1464.78,213,20,28,1
880,Tablet 3119,125,3,500 ml,1727.23,60,88,37,0
881,Mouse 7051,9,8,2 pieces,1205.19,209,14,25,0
882,Mouse 2929,11,5,500 g,613.32,191,38,47,0
883,Mouse 7910,37,1,1 piece,1873.96,156,36,37,0
884,Keyboard 9970,1,8,500 g,139.79,22,53,71,1
885,Tablet 6534,145,5,1 kg,953.08,368,77,26,0
886,Tablet 8357,195,8,6 pack,1733.36,166,11,89,1
887,Monitor 7478,100,7,500 g,1084.28,490,85,66,0
888,Laptop 6060,43,2,500 ml,1292.09,329,71,20,0
889,Monitor 8796,146,1,500 ml,1794.24,61,84,78,0
890,Monitor 5018,71,1,1 L,891.24,413,68,87,0
